age,gender,adopt2fa,aware2fa,status2fa,education,agegroup,location,income
20,female,yes,yes,use 2fa,no college,20-29,Java,low
25,female,no,no,no awareness,no college,20-29,Sumatra,low
22,female,yes,yes,use 2fa,no college,20-29,Sulawesi,low
19,male,no,no,no awareness,no college,13-19,Java,low
24,female,no,no,no awareness,college degree,20-29,Java,low
18,female,no,yes,skip 2fa,no college,13-19,Java,low
22,female,no,no,no awareness,no college,20-29,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Sumatra,low
22,male,yes,yes,use 2fa,college degree,20-29,Java,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
28,female,no,yes,skip 2fa,college degree,20-29,Java,low
20,female,yes,yes,use 2fa,college degree,20-29,Bali & NT,low
17,male,no,no,no awareness,no college,13-19,Java,low
18,female,yes,yes,use 2fa,no college,13-19,Java,low
19,female,no,no,no awareness,no college,13-19,Java,low
21,female,no,no,no awareness,no college,20-29,Java,low
22,female,no,yes,skip 2fa,college degree,20-29,Java,low
20,female,no,yes,skip 2fa,no college,20-29,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Java,low
24,female,no,no,no awareness,college degree,20-29,Sulawesi,low
27,female,no,yes,skip 2fa,college degree,20-29,Borneo,low
21,female,no,yes,skip 2fa,no college,20-29,Java,low
22,female,no,yes,skip 2fa,no college,20-29,Bali & NT,low
21,female,no,no,no awareness,no college,20-29,Java,low
19,female,yes,yes,use 2fa,no college,13-19,Sulawesi,low
18,male,no,yes,skip 2fa,no college,13-19,Bali & NT,low
19,male,no,no,no awareness,no college,13-19,Sumatra,low
18,female,no,no,no awareness,no college,13-19,Java,low
21,female,no,no,no awareness,college degree,20-29,Java,low
22,female,no,no,no awareness,college degree,20-29,Java,low
22,female,yes,yes,use 2fa,college degree,20-29,Java,low
20,female,no,no,no awareness,no college,20-29,Java,low
21,male,no,no,no awareness,no college,20-29,Sumatra,low
21,female,yes,yes,use 2fa,no college,20-29,Java,low
21,male,yes,yes,use 2fa,no college,20-29,Java,low
